,Unnamed: 0,Created_at,Text,user,hashtags,location,source,retweet_count
0,0,2021-04-25 13:22:44,"@ElonJet Melbourne? I didn’t know Tesla was building an Australian terafactory yet. Cool news.

Oh.

Florida.",Mr_Jacksonandon,,,Twitter for iPad,0
1,1,2021-04-25 13:22:36,@tesla_raj @say Please add a q about SNL 🙏 🤣,sova123k,,🇨🇦🇭🇷♥️☀️🔌🚘🚀 ,Twitter for Android,0
2,2,2021-04-25 13:22:34,Me at the @Tesla dealership getting all the upgrades when @elonmusk takes Doge as form of payment #dogecoin https://t.co/bIzGPC6wJz,chilty_clown,dogecoin,ATL,Twitter for iPhone,0
3,3,2021-04-25 13:22:23,"#Richest #Billionaires trying to save the #World #Climate Change https://t.co/7JWqM34bEF 

#EarthDay #GlobalWarming… https://t.co/gwQL6NuzQw",WCDaily1,Richest Billionaires World Climate EarthDay GlobalWarming,World Wide,Twitter Web App,0
4,4,2021-04-25 13:22:21,@bebeeastcoast @LizClaman @Tesla @elonmusk How’s Florida’s chance of being around the next 10 years? I hear it’s non existent,sensarpensar,,"San Jose, CA",Twitter for iPhone,0
5,5,2021-04-25 13:22:21,"@phoebesaid @Tesla @GM @Ford @ConsumerReports @freep But what do we know about @ConsumerReports credibility? 

https://t.co/feRbRONsHt.",MKotomoto,,,Twitter for iPhone,0
6,6,2021-04-25 13:21:50,Do you think @Teslarati the negative views of @Tesla and @elonmusk from dealers and the automotive industry in gene… https://t.co/JPZ8pIcD4A,boken,,Madison WI,Twitter for iPhone,0
7,7,2021-04-25 13:21:43,"@GCustom @Tesla Beside the fact, that I DON'T have a smartphone, MD is still quite a bit far, bc I'm from Germany .… https://t.co/tL6TTWN5Ki",UltimativCars,,Germany (international active),Twitter Web App,0
8,8,2021-04-25 13:21:39,Lorne Michaels as guest CEO of Tesla for a day would’ve been a better idea.,freneticperipat,,"Nashville, TN",Twitter for iPad,0
9,9,2021-04-25 13:21:35,im hoping that elon musk being on snl makes his fanboys think hes cringe and tesla conpletely bottoms out and my gu… https://t.co/BXYFqkywOi,merzhoward,,"Houston, TX",Twitter Web App,0
10,10,2021-04-25 13:21:32,Does Donald Trump think dressing like that makes people respect him? This is Tesla not a Sephora!,stephfinebot,,,"Cheap Bots, Done Quick!",0
11,11,2021-04-25 13:21:29,Seeing all these negative reactions to Elon hosting SNL makes me release tslaq failed to bring down Tesla but succe… https://t.co/F3RqhxOKzN,Ryanth3nerd,,"California, USA",Twitter for Android,0
12,12,2021-04-25 13:21:21,Binance Tesla security token raises questions about Hong Kong licence https://t.co/QytqaoRPtA via @scmpnews,EcexExchange,,"London, England",Twitter Web App,0
13,13,2021-04-25 13:21:17,@TMobile @Tesla I want a chance to win a #tesla #t-mobile,CarolanneHolder,tesla t,"Sunnyside, Queens",Twitter for iPhone,0
14,14,2021-04-25 13:21:07,"Tesla will not dominate in electric vehicles. Traditional automakers are coming up, and have economies of scale. https://t.co/XXvHHhcl2K",siyaronin,,"Austin, TX",Hootsuite Inc.,0
15,15,2021-04-25 13:21:00,@LizClaman @Tesla La Liz - Does the hubs get another chance to drive your car or is he done ?,JonathanTWoods2,,"Wilton, CT",Twitter for iPhone,0
16,16,2021-04-25 13:20:58,@tesla_master We need them,Techguy97649674,,,Twitter Web App,0
17,17,2021-04-25 13:20:54,@tesla_master There all stolen anyway,7popperoz,,"Willow Grove, PA",Twitter for iPhone,0
18,18,2021-04-25 13:20:54,@phoebesaid @Tesla @ConsumerReports So which other vehicle has consumer reports tried to circumvent the safety features of?,nikkibrownlees,,South Africa,Twitter for iPhone,0
19,19,2021-04-25 13:20:50,"@CarWale Why 2025..? Why not in 2022, 2023. Already Tesla was announced in india, we are coming. So, in this 4 year… https://t.co/lCO1aqnBrz",VamsiKrishna155,,"Ongole, India",Twitter for Android,0
20,20,2021-04-25 13:20:49,"DC pastor used PPP loan to buy Tesla, Baltimore property, U.S. Attorney says https://t.co/69FRvBTjZO",excitedubai,,"Dubai, UAE",ExciteDubai Tweet Feed,0
21,21,2021-04-25 13:20:46,@phoebesaid @Tesla @ConsumerReports Yes some vocal Tesla owners believe CR’s hack was biased and dangerous. Will yo… https://t.co/SYQ1iOGaNC,enriq003,,"Bloomington, IL, USA",Twitter for iPhone,0
22,22,2021-04-25 13:20:36,@CNBC Don’t think I can afford either Tesla or ev Mercedes,pdzur1,,,Twitter for iPhone,0
23,23,2021-04-25 13:20:32,@elonmusk Tesla can launch an online wallet which can help in easy collection of toll/road taxes .(31),wikietech,,,Twitter for Android,0
24,24,2021-04-25 13:20:30,"@elborino @GlosPolSpecOps @Tesla Model 3's can be fitted with light bars.

SpaceX employs one for their operations… https://t.co/zvlFejJ34Y",WouterHermans,,Belgium,Twitter Web App,0
25,25,2021-04-25 13:20:28,"We know very little, and yet it is astonishing that we know so much, and still more astonishing that so little know… https://t.co/vTeDf2dyXD",packersDough,,here,Twitter Web App,0
26,26,2021-04-25 13:20:23,@modernmoneymuse I’m saying your assertion that we refuse to follow it is wrong and paints us as lazy when the issu… https://t.co/jSoUUYNeZp,Yoda62343087,,"Far, far away...",Twitter for iPhone,0
27,27,2021-04-25 13:20:19,@elonmusk You should Install a solar pannel on Tesla cars. They can charge while on the run(don't need to be totall… https://t.co/N9VnMsQHRo,wikietech,,,Twitter for Android,0
28,28,2021-04-25 13:20:14,tesla is sick:( he’s been so clingy today :( https://t.co/0jqUlvpmWS,thedanisaurs,,"London, England",Twitter for iPhone,0
29,29,2021-04-25 13:19:57,"Ford hires PR person to troll Tesla fans. 

When Tesla fans push back the Detroit media swoops in to say tesla fans… https://t.co/7Fhk41PkxJ",28delayslater,,Neuralink,Twitter for iPhone,3
30,30,2021-04-25 13:19:54,@WholeMarsBlog Tesla and crypto.  Take out all polluters and their financiers.  Govt better come along for the ride… https://t.co/HUfrZaezki,nareshnarayan19,,"Madison, NJ",Twitter for iPhone,0
31,31,2021-04-25 13:19:51,"@Eljaboom When Binance
When Lambo
When moon
When pump
When 1$
When Airdrop
When IDO
When Launch
😅😅😅😅😅",Enal_Tesla,,,Twitter for Android,0
32,32,2021-04-25 13:19:46,"DC pastor used PPP loan to buy Tesla, Baltimore property, U.S. Attorney says #BornAgainTaxDodger https://t.co/j9AjSwPVNf",odylammeter,BornAgainTaxDodger, USA,Twitter for iPhone,0
33,33,2021-04-25 13:19:42,@SmarteeyPants @Tesla Thank you.,ResponsibleTout,,"Here, Earth.",Twitter for iPhone,0
34,34,2021-04-25 13:19:42,@eWhispers @Tesla @AMD @amazon @Microsoft @Facebook @Boeing @generalelectric @Shopify @Google @Qualcomm $NIO has bo… https://t.co/qNUik7MwzH,SwingTr74597686,,"Brooklyn, NY",Twitter for iPhone,0
35,35,2021-04-25 13:19:41,"@TransRamona @BroJo87 He also didn't found Tesla, he bought himself in and tried to hide the original creators as b… https://t.co/xD0KTIj8sc",SMigelino,,"Frankfurt, Hesse",Twitter for Android,0
36,36,2021-04-25 13:19:09,@WholeMarsBlog @elonmusk @jimfarley98 Haha. What an idiotic metric.  What you're seeing is a ratio of new cars sold… https://t.co/lt9W7nXNGw,4680cell,,,Twitter Web App,0
37,37,2021-04-25 13:19:09,@elonmusk I think you should give kudos and a big thank you to @thejuicemedia for giving @Tesla lots of screen time… https://t.co/mxemLD8nRZ,yanquetino,,"Ivins, Utah",Twitter Web App,0
38,38,2021-04-25 13:18:46,"Quick Charge 24/04: this week in EV news - https://t.co/M5UBqimT04: Volkswagen's very good week, Tesla's not so goo… https://t.co/3iT0OfcDxv",Network_Easy,,Global Worldwide,dlvr.it,3
39,39,2021-04-25 13:18:25,"Tesla coiller ile Around The World
https://t.co/3WizXUoD8A",selin_kunt,,,Twitter for Android,0
